date,content,username,likes,views,hashtags,url,likes_views_ratio
2023-01-25,the himalayawellnesscompany commemorates the spirit of our country and it ability to stand together during tough time we step into our th republicday let pledge to find strength in our unity amp become the nation our forefather wanted to be happyrepublicday,HimalayaIndia,13,1052.0,himalayawellnesscompany republicday happyrepublicday,https://twitter.com/HimalayaIndia/status/1618197659369488385,0.012357414448669201
2023-01-23,himalaya new manufacturing facility in tumakuru received the first iso certification em iso 2015 and oh amp iso 2018 from nqa certification pvt ltd for effectively implementing and building good safety culture and practice on the campus himalayawellness,HimalayaIndia,20,1284.0,iso safety himalayawellness,https://twitter.com/HimalayaIndia/status/1617375889024749568,0.01557632398753894
2023-01-17,mkc1 reddy hi reddy could you please dm your contact detail so that we can get in touch with you,HimalayaIndia,0,29.0,himalayaindia,https://twitter.com/HimalayaIndia/status/1615291322046504961,0.0
2023-01-13,let celebrate the onset of warmer day and prosperity together and rejoice in the charm of tradition himalaya wellness company wish you and your family very happy lohri pongal and makar sankranti himalayawellnesscompany lohri pongal makarsankranti,HimalayaIndia,3,473.0,himalayawellnesscompany lohri pongal makarsankranti,https://twitter.com/HimalayaIndia/status/1613847830019571712,0.006342494714587738
2023-01-13,himalaya drive initiative to enrich life we have signed an mou with the govt of karnataka to rejuvenate makali government primary school with state of the art facility we will also support the maintenance of the premise for three year from the completion date,HimalayaIndia,3,679.0,himalaya government school,https://twitter.com/HimalayaIndia/status/1613762923679330305,0.004418262150220913
2023-01-02,kishnpalchauhan your experience is priority and this is not what we want you to feel krishn we request you to share your complaint amp contact detail with at contactus himalayawellness com that help connect with you,HimalayaIndia,0,46.0,himalayaindia,https://twitter.com/HimalayaIndia/status/1609834104702504962,0.0
2022-12-31,let bid adieu to and enter with new opportunity to evolve achieve and flourish new year and stronger commitment to bring wellness in every home and happiness in every heart himalaya wellness company wish you and your family very happynewyear,HimalayaIndia,15,852.0,happynewyear,https://twitter.com/HimalayaIndia/status/1609095751048757250,0.017605633802816902
2022-12-27,rlokeshrao cdsco india inf hi lokesh we always ensure that all our customer have great experience we regret the inconvenience caused to you we want to investigate this matter and make thing right please share with your contact detail via dm so we can arrange call,HimalayaIndia,0,49.0,himalayaindia,https://twitter.com/HimalayaIndia/status/1607585637871554560,0.0
2022-12-23,‘tis the season to be merry and spread joy himalaya wellness company wish you and your family merrychristmas may the magic of the holiday season enthrall you with happiness prosperity and abundance himalayawellness seasonsgreetings merry christmas,HimalayaIndia,9,655.0,merrychristmas himalayawellness seasonsgreetings merry christmas,https://twitter.com/HimalayaIndia/status/1606260106982617089,0.013740458015267175
2022-12-16,himalayawellness company attended the th edition of the world ayurveda congress wac and arogya expo dr rangesh paramesh director intellectual property delivered talk on international regulatory compliance for ayurvedic drug,HimalayaIndia,6,549.0,himalayawellness,https://twitter.com/HimalayaIndia/status/1603622240737562624,0.01092896174863388
2022-12-14,hh sheikh mansoor bin mohammed chairman of dubai sport council inaugurates the himalaya global research centre at dxbsciencepark the himalaya global research centre will serve global think tank for our company himalayawellness,HimalayaIndia,9,9.0,himalayawellness,https://twitter.com/HimalayaIndia/status/1603005199647674368,1.0
2022-12-14,sustainability is at the heart of everything we do at himalaya an energy independent organization we strive to consume energy through sustainable source watch this video on how we focus on path breaking solution for better tomorrow nationalenergyconservationday,HimalayaIndia,8,8.0,sustainability nationalenergyconservationday,https://twitter.com/HimalayaIndia/status/1602937865108742145,1.0
2022-11-23,deshbhaktreva please refer to our official statement,HimalayaIndia,3,3.0,himalayaindia,https://twitter.com/HimalayaIndia/status/1595280862731386885,1.0
2022-11-16,the economic time recognizes himalaya effort towards driving sustainable initiative and becoming an environmentally conscious organization do read the excerpt of the interview himalayawellness conservation energyefficiency sustainabledevelopment enviornment,HimalayaIndia,8,8.0,sustainable himalayawellness conservation energyefficiency sustainabledevelopment enviornment,https://twitter.com/HimalayaIndia/status/1592743153496645632,1.0
2022-10-23,our journey an ayurvedic wellness brand started in the himalayan foothill year ago the support from the ministry of ayush bear testimony to our collaborative effort of making “har din har ghar ayurveda” reality himalayawellness wish you happyayurvedaday,HimalayaIndia,11,11.0,wellness himalayawellness happyayurvedaday,https://twitter.com/HimalayaIndia/status/1584163747819814913,1.0
2022-10-22,our mission is to bring wellness and happiness in every home may the gleam of diyas brighten your life amp the divine energy shower their choicest blessing upon you himalaya wellness company wish you very happydiwali himalayawellness diwali,HimalayaIndia,11,11.0,wellness happydiwali himalayawellness diwali2022,https://twitter.com/HimalayaIndia/status/1583729188401729536,1.0
2022-10-20,himalaya celebrates partnership with purpose it encourages our aim of spreading “wellness in every home and happiness in every heart renewing our commitment to benefit customer by making “har din har ghar ayurveda” reality happy ayurvedaday hardinhargharayurveda,HimalayaIndia,16,16.0,himalaya ayurvedaday hardinhargharayurveda,https://twitter.com/HimalayaIndia/status/1582926582233956353,1.0
2022-10-15,thank you for participating in the saafhaathsekhaaiye contest we are ecstatic to see your response keep them coming watch the film amp tell what you feel via tweet tag himalayaindia and stand chance to win specially curated hamper by the himalaya wellness company,HimalayaIndia,5,5.0,saafhaathsekhaaiye,https://twitter.com/HimalayaIndia/status/1581174819936428032,1.0
2022-10-14,contestalert watch the film saafhaathsekhaaiye amp tell what you feel via tweet tag himalayaindia and stand chance to win specially curated gift hamper by the himalaya wellness company,HimalayaIndia,2,2.0,contestalert saafhaathsekhaaiye,https://twitter.com/HimalayaIndia/status/1580900699885346816,1.0
2022-10-14,this globalhandwashingday we present to you saafhaathsekhaaiye eating with your hand is an exquisite indian tradition and through our initiative we want to emphasize staying true to our cultural root and tradition in clean safe amp healthy manner,HimalayaIndia,709,709.0,globalhandwashingday saafhaathsekhaaiye,https://twitter.com/HimalayaIndia/status/1580900557631340549,1.0
2022-10-12,himalaya is committed to conservingenergy resource how do we harness renewableenergy source while working towards the commitment of achieving net zero goal by watch the video himalayawellness sustainableliving sustainability,HimalayaIndia,3,3.0,conservingenergy renewableenergy himalayawellness sustainableliving sustainability,https://twitter.com/HimalayaIndia/status/1580054219054206977,1.0
