title,price,description,url
Ashvagandha,₹ 200.00,"Helps Boost Immunity and Overall Endurance 
Facts derived from Ayurveda texts and modern research:
Ashvagandha builds strength and immunity by improving the overall capacity of the body to fight infections and diseases.",https://himalayawellness.in/collections/all/products/ashvagandha
Gokshura,₹ 220.00,Improves vigour,https://himalayawellness.in/collections/all/products/gokshura
Tentex Royal,₹ 225.00,"Relieves stress & improves performance.
Himalaya Tentex Royal increases energy, improves performance, and uplifts mood.",https://himalayawellness.in/collections/all/products/tentex-royal
Tentex Forte,₹ 90.00,"Rejuvenate & elevate your performance
Himalaya Tentex Forte helps increase strength, improves power, and stamina.",https://himalayawellness.in/collections/all/products/tentex-forte
Complete Care Toothpaste,₹ 55.00,"Healthy gums . Strong teeth . Fresh breath
Himalaya Complete Care Toothpaste, is an advanced herbal formulation that not only protects from germs but also has antioxidants that help protect teeth against free radicals and help maintain gums in good health.",https://himalayawellness.in/collections/all/products/complete-care-toothpaste
Ayurveda Clear Skin Soap,₹ 67.00,"Ayurvedic oil bath now in a soap
Ayurveda Clear Skin Soap has a unique formulation that nourishes skin and helps improve the complexion.",https://himalayawellness.in/collections/all/products/ayurveda-clear-skin-soap
Purifying Neem Face Wash,₹ 205.00,"Clinically Proven Pimple-free Healthy Skin Expert
Himalaya's Purifying Neem Face Wash is a soap-free formulation that cleans impurities and helps clear pimples.",https://himalayawellness.in/collections/all/products/purifying-neem-face-wash
Q-DEE Cramps,₹ 45.00,"Quick Dissolve. Quick Relief. 
Relief from monthly cramps and discomfort
Dissolves in 180 seconds, does not require water
Quick onset of action: starts acting in 11 minutes",https://himalayawellness.in/collections/all/products/q-dee-cramps
Himalaya Ayurveda Sandal Glow Soap,₹ 60.00,Ayurveda-based Pure Sandalwood Oil in Soap for Nourished Glowing Skin,https://himalayawellness.in/collections/all/products/himalaya-ayurveda-sandal-glow-soap
Confido,₹ 170.00,"Gives the confidence you need
Himalaya Confido reduces anxiety, improves performance, and increases confidence.",https://himalayawellness.in/collections/all/products/confido
Neem & Turmeric Soap,₹ 54.00,"Cleanses and purifies skin
Himalaya's Neem & Turmeric Soap blends together all the goodness of Neem, Turmeric and lemon.",https://himalayawellness.in/collections/all/products/neem-turmeric-soap
Anti-Hair Fall Shampoo,₹ 75.00,"Reduces hair fall* Makes hair healthy
Himalaya's Anti-Hair Fall Shampoo is a breakthrough 2-in-1 formula that help reduces hair fall and provides nourishment to hair",https://himalayawellness.in/collections/all/products/anti-hair-fall-shampoo
Himalaya Gasex Fizz,₹ 9.00,Instant relief from acidity. Quick relief from gas and indigestion.,https://himalayawellness.in/collections/all/products/himalaya-gasex-fizz
Himcolin Gel,₹ 210.00,,https://himalayawellness.in/collections/all/products/himcolin-gel
Ayurslim Capsules,₹ 280.00,Keep Fit... Naturally!,https://himalayawellness.in/collections/all/products/ayurslim-capsules
Rumalaya Active Spray,₹ 165.00,Starts relieving pain in 2 minutes,https://himalayawellness.in/products/rumalaya-active-spray
Cherry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Cherry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Sweet Cherry Oil and nourishing ingredients in the products help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/cherry-shine-lip-care
Berry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Berry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Berry Oil Complex - a rich blend of Blackberry, Cranberry, and Blueberry seed oils - and nourishing ingredients help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/berry-shine-lip-care
Aloe Vera Refreshing Body Gel,₹ 350.00,"Moisturizes, cools, and soothes skin.
Himalaya Aloe Vera Refreshing Body Gel is formulated with the goodness of Aloe Vera gel. Our product moisturizes, cools, and soothes skin, giving a fresh, soft, supple, and non-oily feel. 
The body gel, dermatologically tested, is a light and non-greasy moisturizer for daily use. There are no artificial colors, and the product is free from Parabens, Phthalates, and Methylisothiazolinone (MIT). You can use it for a gentle massage to refresh your skin or to soothe dry, irritated, or sunburnt skin.",https://himalayawellness.in/products/aloe-vera-refreshing-body-gel
Scavon VET Cream,₹ 65.00,"Topical antimicrobial. 
Himalaya Scavon VET Cream is an anti-infective, broad-spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissues.",https://himalayawellness.in/products/scavon-vet-cream
Crème Cleansing Baby Bar,₹ 150.00,"Gentle care for newborns and babies with sensitive skin
Himalaya Crème Cleansing Baby Bar is a mild and gentle cleansing bar for babies, which is formulated with a skin-friendly pH of 5.5 to ensure that baby’s delicate skin remains healthy. It consists of a blend of herb-oil-butter complex that helps lock in moisture and keep baby’s skin soft, smooth, and moisturized.",https://himalayawellness.in/products/creme-cleansing-baby-bar
Himalaya Vegecort (Cream),₹ 100.00,For Eczema Relief,https://himalayawellness.in/products/himalaya-vegecort-cream
Himalaya Active Fresh Miswak Mouthwash,₹ 115.00,"For healthy gums. No alcohol. No burning sensation.
Himalaya Active Fresh Miswak Mouthwash is an advanced herbal formulation with the goodness of Miswak and Menthol. It prevents plaque buildup and mouth odor for healthy gums, strong teeth, and long-lasting fresh breath, naturally.",https://himalayawellness.in/products/himalaya-active-fresh-miswak-mouthwash
Ashvagandha,₹ 200.00,"Helps Boost Immunity and Overall Endurance 
Facts derived from Ayurveda texts and modern research:
Ashvagandha builds strength and immunity by improving the overall capacity of the body to fight infections and diseases.",https://himalayawellness.in/products/ashvagandha
Gokshura,₹ 220.00,Improves vigour,https://himalayawellness.in/products/gokshura
Tentex Royal,₹ 225.00,"Relieves stress & improves performance.
Himalaya Tentex Royal increases energy, improves performance, and uplifts mood.",https://himalayawellness.in/products/tentex-royal
Tentex Forte,₹ 90.00,"Rejuvenate & elevate your performance
Himalaya Tentex Forte helps increase strength, improves power, and stamina.",https://himalayawellness.in/products/tentex-forte
Complete Care Toothpaste,₹ 55.00,"Healthy gums . Strong teeth . Fresh breath
Himalaya Complete Care Toothpaste, is an advanced herbal formulation that not only protects from germs but also has antioxidants that help protect teeth against free radicals and help maintain gums in good health.",https://himalayawellness.in/products/complete-care-toothpaste
Ayurveda Clear Skin Soap,₹ 67.00,"Ayurvedic oil bath now in a soap
Ayurveda Clear Skin Soap has a unique formulation that nourishes skin and helps improve the complexion.",https://himalayawellness.in/products/ayurveda-clear-skin-soap
Purifying Neem Face Wash,₹ 205.00,"Clinically Proven Pimple-free Healthy Skin Expert
Himalaya's Purifying Neem Face Wash is a soap-free formulation that cleans impurities and helps clear pimples.",https://himalayawellness.in/products/purifying-neem-face-wash
Q-DEE Cramps,₹ 45.00,"Quick Dissolve. Quick Relief. 
Relief from monthly cramps and discomfort
Dissolves in 180 seconds, does not require water
Quick onset of action: starts acting in 11 minutes",https://himalayawellness.in/products/q-dee-cramps
Himalaya Ayurveda Sandal Glow Soap,₹ 60.00,Ayurveda-based Pure Sandalwood Oil in Soap for Nourished Glowing Skin,https://himalayawellness.in/products/himalaya-ayurveda-sandal-glow-soap
Confido,₹ 170.00,"Gives the confidence you need
Himalaya Confido reduces anxiety, improves performance, and increases confidence.",https://himalayawellness.in/products/confido
Liv.52 DS,₹ 190.00,Unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52-ds
PartySmart Capsules,₹ 80.00,"The hangover prevention capsule. Experience hangover free mornings with the goodness of herbs.
PartySmart is an herbal formulation that helps prevents hangover. It is clinically proven, safe, and effective. 
When you consume alcohol, it is broken down into acetaldehyde. Acetaldehyde is primarily responsible for hangovers. The build-up of acetaldehyde in the liver leads to a hangover or not so good morning. Himalaya PartySmart helps prevents hangover by preventing acetaldehyde build up in the liver leading to a better morning.
Alleviates the symptoms of hangover such as:
Headache
Nausea
Drowsiness
Fatigue and body ache
Burning sensation in the stomach",https://himalayawellness.in/collections/all/products/partysmart-capsules
Natural Glow Kesar Face Cream,₹ 100.00,"Nature’s goodness for a naturally glowing face!
Himalaya Natural Glow Kesar Face Cream comes with the goodness of Kashmiri Kesar.",https://himalayawellness.in/collections/all/products/natural-glow-kesar-face-cream
Pain Balm Strong,₹ 45.00,"Fast relief from pain
Naturally enriched with the goodness of Indian Winter Green, Mint, and Chir Pine Oils.",https://himalayawellness.in/collections/all/products/pain-balm-strong
Triphala,₹ 180.00,"Relieves constipation
Facts derived from Ayurveda texts and modern research:
Triphala provides a gentle pro-kinetic effect on the bowels and helps relieve long-standing constipation.",https://himalayawellness.in/collections/all/products/triphala
Anti-Hair Fall Hair Oil,₹ 140.00,"Promotes hair growth.Prevents hair fall
Himalaya's Anti-Hair Fall Hair Oil help reduce hair fall and promotes hair growth",https://himalayawellness.in/collections/all/products/anti-hair-fall-hair-oil
Sparkling White Toothpaste,₹ 60.00,"No Chemical Bleach.
Himalaya's Sparkling White Toothpaste is a breakthrough herbal formulation based on plant enzyme technology that gently removes surface stains on your teeth.",https://himalayawellness.in/collections/all/products/sparkling-white-toothpaste
Arjuna,₹ 220.00,"Versatile cardioprotective
Facts derived from Ayurveda texts and modern research:
Arjuna helps in improving coronary artery blood flow, reducing the chances of clot formation and protects the heart muscles.",https://himalayawellness.in/collections/all/products/arjuna
baby powder,₹ 150.00,"To keep cool and stay fresh
Himalaya’s Baby Powder is formulated with herbal ingredients which helps keeps baby’s skin cool and comfortable.",https://himalayawellness.in/collections/all/products/baby-powder
Brahmi,₹ 180.00,"Improves alertness
Facts derived from Ayurveda texts and modern research:
Brahmi helps calm the mind, promote clarity of thought, and memory consolidation.",https://himalayawellness.in/collections/all/products/brahmi
Kapikachhu,₹ 180.00,,https://himalayawellness.in/collections/all/products/kapikachhu
gentle baby shampoo,₹ 95.00,"Special care for nourished hair
Himalaya Gentle Baby Shampoo is a mild, “no tears"" shampoo that gently cleanses hair making it soft, shiny, and easy to manage.",https://himalayawellness.in/collections/all/products/gentle-baby-shampoo
Septilin,₹ 180.00,Builds the body's own defense mechanism,https://himalayawellness.in/collections/all/products/septilin
Himalaya Ayurveda Gum Care Toothpaste,₹ 60.00,"Tightens Gums, Strengthens Teeth, and Removes Plaque
Himalaya Ayurveda Gum Care Toothpaste is a holistic herbal formulation based on the trusted practices of Ayurveda dental care (Danta swasthya) and modern science to remove plaque, fight germs, and help tighten gums. It is enriched with 13 Ayurvedic herbs for healthy gums. This toothpaste is designed with a unique ingredient, Vaikranta bhasma, a traditionally used natural source of fluoride, which helps strengthen teeth.",https://himalayawellness.in/collections/all/products/himalaya-ayurveda-gum-care-toothpaste
Anti-Dandruff Shampoo,₹ 75.00,"Fights dandruff,Makes hair healthy
Himalaya's Anti-Dandruff Shampoo effectively fights dandruff and provides nourishment to the hair.",https://himalayawellness.in/collections/all/products/anti-dandruff-shampoo
Rumalaya Active Spray,₹ 165.00,Starts relieving pain in 2 minutes,https://himalayawellness.in/products/rumalaya-active-spray
Cherry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Cherry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Sweet Cherry Oil and nourishing ingredients in the products help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/cherry-shine-lip-care
Berry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Berry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Berry Oil Complex - a rich blend of Blackberry, Cranberry, and Blueberry seed oils - and nourishing ingredients help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/berry-shine-lip-care
Aloe Vera Refreshing Body Gel,₹ 350.00,"Moisturizes, cools, and soothes skin.
Himalaya Aloe Vera Refreshing Body Gel is formulated with the goodness of Aloe Vera gel. Our product moisturizes, cools, and soothes skin, giving a fresh, soft, supple, and non-oily feel. 
The body gel, dermatologically tested, is a light and non-greasy moisturizer for daily use. There are no artificial colors, and the product is free from Parabens, Phthalates, and Methylisothiazolinone (MIT). You can use it for a gentle massage to refresh your skin or to soothe dry, irritated, or sunburnt skin.",https://himalayawellness.in/products/aloe-vera-refreshing-body-gel
Scavon VET Cream,₹ 65.00,"Topical antimicrobial. 
Himalaya Scavon VET Cream is an anti-infective, broad-spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissues.",https://himalayawellness.in/products/scavon-vet-cream
Crème Cleansing Baby Bar,₹ 150.00,"Gentle care for newborns and babies with sensitive skin
Himalaya Crème Cleansing Baby Bar is a mild and gentle cleansing bar for babies, which is formulated with a skin-friendly pH of 5.5 to ensure that baby’s delicate skin remains healthy. It consists of a blend of herb-oil-butter complex that helps lock in moisture and keep baby’s skin soft, smooth, and moisturized.",https://himalayawellness.in/products/creme-cleansing-baby-bar
Himalaya Vegecort (Cream),₹ 100.00,For Eczema Relief,https://himalayawellness.in/products/himalaya-vegecort-cream
Himalaya Active Fresh Miswak Mouthwash,₹ 115.00,"For healthy gums. No alcohol. No burning sensation.
Himalaya Active Fresh Miswak Mouthwash is an advanced herbal formulation with the goodness of Miswak and Menthol. It prevents plaque buildup and mouth odor for healthy gums, strong teeth, and long-lasting fresh breath, naturally.",https://himalayawellness.in/products/himalaya-active-fresh-miswak-mouthwash
Ashvagandha,₹ 200.00,"Helps Boost Immunity and Overall Endurance 
Facts derived from Ayurveda texts and modern research:
Ashvagandha builds strength and immunity by improving the overall capacity of the body to fight infections and diseases.",https://himalayawellness.in/products/ashvagandha
Gokshura,₹ 220.00,Improves vigour,https://himalayawellness.in/products/gokshura
Tentex Royal,₹ 225.00,"Relieves stress & improves performance.
Himalaya Tentex Royal increases energy, improves performance, and uplifts mood.",https://himalayawellness.in/products/tentex-royal
Tentex Forte,₹ 90.00,"Rejuvenate & elevate your performance
Himalaya Tentex Forte helps increase strength, improves power, and stamina.",https://himalayawellness.in/products/tentex-forte
Complete Care Toothpaste,₹ 55.00,"Healthy gums . Strong teeth . Fresh breath
Himalaya Complete Care Toothpaste, is an advanced herbal formulation that not only protects from germs but also has antioxidants that help protect teeth against free radicals and help maintain gums in good health.",https://himalayawellness.in/products/complete-care-toothpaste
Ayurveda Clear Skin Soap,₹ 67.00,"Ayurvedic oil bath now in a soap
Ayurveda Clear Skin Soap has a unique formulation that nourishes skin and helps improve the complexion.",https://himalayawellness.in/products/ayurveda-clear-skin-soap
Purifying Neem Face Wash,₹ 205.00,"Clinically Proven Pimple-free Healthy Skin Expert
Himalaya's Purifying Neem Face Wash is a soap-free formulation that cleans impurities and helps clear pimples.",https://himalayawellness.in/products/purifying-neem-face-wash
Q-DEE Cramps,₹ 45.00,"Quick Dissolve. Quick Relief. 
Relief from monthly cramps and discomfort
Dissolves in 180 seconds, does not require water
Quick onset of action: starts acting in 11 minutes",https://himalayawellness.in/products/q-dee-cramps
Himalaya Ayurveda Sandal Glow Soap,₹ 60.00,Ayurveda-based Pure Sandalwood Oil in Soap for Nourished Glowing Skin,https://himalayawellness.in/products/himalaya-ayurveda-sandal-glow-soap
Confido,₹ 170.00,"Gives the confidence you need
Himalaya Confido reduces anxiety, improves performance, and increases confidence.",https://himalayawellness.in/products/confido
Shatavari,₹ 200.00,"Promotes lactation
Facts derived from Ayurveda texts and modern research:
Shatavari supports lactating mothers by improving prolactin hormone levels, ensuring optimum breastfeeding.",https://himalayawellness.in/collections/all/products/shatavari
Liv.52,₹ 150.00,Unparalleled in liver care,https://himalayawellness.in/collections/all/products/liv-52
Guduchi,₹ 165.00,"Strengthens immunity
Facts derived from Ayurveda texts and modern research:
Guduchi helps increase the effectiveness of protective white blood cells which fight infection.",https://himalayawellness.in/collections/all/products/guduchi
Almond & Rose Soap,₹ 33.00,"Moisturizes and cools skin
Himalaya’s Almond & Rose Soap, comes with the goodness of Almond and Rose help leaves your skin feel soft.",https://himalayawellness.in/collections/all/products/almond-rose-soap
Himalaya Moisturizing Aloe Vera Face Gel,₹ 85.00,Moisturizing Aloe Vera Face Gel,https://himalayawellness.in/collections/all/products/himalaya-moisturizing-aloe-vera-face-gel
Koflet-SF LOZENGES,₹ 33.00,"Koflet-SF lozenge is a sugar-free, non-sedating, and soothing cough suppressant with the goodness of herbal actives",https://himalayawellness.in/collections/all/products/koflet-sf-lozenge
Quista PRO (Chocolate),"₹ 2,950.00","Advanced Whey Formula for Next Level Results
Himalaya Quista PRO, a first-of-its-kind whey protein packed with naturally rich amino acids (BCAA) that metabolize directly in the muscles.",https://himalayawellness.in/collections/all/products/quista-pro-chocolate
Natural Shine Henna,₹ 75.00,"Soft, Shiny, and Healthy Hair
Himalaya Natural Shine Henna is a unique blend made with the purest quality of Rajasthani Henna",https://himalayawellness.in/collections/all/products/natural-shine-henna
baby lotion,₹ 165.00,"A natural moisturizer
Himalaya Baby Lotion helps keep baby's skin soft and supple.",https://himalayawellness.in/collections/all/products/baby-lotion
OphthaCare Eye Drops,₹ 70.00,For optimal eye care,https://himalayawellness.in/collections/all/products/ophthacare-eye-drops
gentle baby soap,₹ 55.00,"Especially for baby's gentle skin
Himalaya Gentle Baby Soap is formulated to gently cleanse and condition your baby's skin, leaving it soft and hydrated.",https://himalayawellness.in/collections/all/products/gentle-baby-soap
FootCare Cream,₹ 55.00,"Moisturizes and Soothes Feet
Himalaya FootCare Cream cares for your cracked heels and rough feet with natural ingredients.",https://himalayawellness.in/collections/all/products/footcare-cream
Rumalaya Active Spray,₹ 165.00,Starts relieving pain in 2 minutes,https://himalayawellness.in/collections/all/products/rumalaya-active-spray
Abana,₹ 155.00,Antihyperlipidaemic,https://himalayawellness.in/collections/all/products/abana
baby cream,₹ 150.00,"Loving layer of protection
Himalaya Baby Cream is specially formulated to protect your little one's chapped cheeks, 'crawler's knee', tender nose, and rubbed elbows.",https://himalayawellness.in/collections/all/products/baby-cream
Rumalaya Active Spray,₹ 165.00,Starts relieving pain in 2 minutes,https://himalayawellness.in/products/rumalaya-active-spray
Cherry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Cherry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Sweet Cherry Oil and nourishing ingredients in the products help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/cherry-shine-lip-care
Berry Shine Lip Care,₹ 160.00,"Naturally glossy, soft, and nourished lips
Himalaya Berry Shine Lip Care is a luxurious lip balm enriched with 100% natural color and antioxidants such as Vitamin E. The Berry Oil Complex - a rich blend of Blackberry, Cranberry, and Blueberry seed oils - and nourishing ingredients help in caring for and protecting your lips from environmental damage and aid in enhancing natural lip color. The lip balm's moisture-lock formula helps keep your lips soft and supple.",https://himalayawellness.in/products/berry-shine-lip-care
Aloe Vera Refreshing Body Gel,₹ 350.00,"Moisturizes, cools, and soothes skin.
Himalaya Aloe Vera Refreshing Body Gel is formulated with the goodness of Aloe Vera gel. Our product moisturizes, cools, and soothes skin, giving a fresh, soft, supple, and non-oily feel. 
The body gel, dermatologically tested, is a light and non-greasy moisturizer for daily use. There are no artificial colors, and the product is free from Parabens, Phthalates, and Methylisothiazolinone (MIT). You can use it for a gentle massage to refresh your skin or to soothe dry, irritated, or sunburnt skin.",https://himalayawellness.in/products/aloe-vera-refreshing-body-gel
Scavon VET Cream,₹ 65.00,"Topical antimicrobial. 
Himalaya Scavon VET Cream is an anti-infective, broad-spectrum antimicrobial and antibacterial wound healer that promotes wound healing by rapid collagenization and epithelialization of tissues.",https://himalayawellness.in/products/scavon-vet-cream
Crème Cleansing Baby Bar,₹ 150.00,"Gentle care for newborns and babies with sensitive skin
Himalaya Crème Cleansing Baby Bar is a mild and gentle cleansing bar for babies, which is formulated with a skin-friendly pH of 5.5 to ensure that baby’s delicate skin remains healthy. It consists of a blend of herb-oil-butter complex that helps lock in moisture and keep baby’s skin soft, smooth, and moisturized.",https://himalayawellness.in/products/creme-cleansing-baby-bar
Himalaya Vegecort (Cream),₹ 100.00,For Eczema Relief,https://himalayawellness.in/products/himalaya-vegecort-cream
Himalaya Active Fresh Miswak Mouthwash,₹ 115.00,"For healthy gums. No alcohol. No burning sensation.
Himalaya Active Fresh Miswak Mouthwash is an advanced herbal formulation with the goodness of Miswak and Menthol. It prevents plaque buildup and mouth odor for healthy gums, strong teeth, and long-lasting fresh breath, naturally.",https://himalayawellness.in/products/himalaya-active-fresh-miswak-mouthwash
Ashvagandha,₹ 200.00,"Helps Boost Immunity and Overall Endurance 
Facts derived from Ayurveda texts and modern research:
Ashvagandha builds strength and immunity by improving the overall capacity of the body to fight infections and diseases.",https://himalayawellness.in/products/ashvagandha
Gokshura,₹ 220.00,Improves vigour,https://himalayawellness.in/products/gokshura
Tentex Royal,₹ 225.00,"Relieves stress & improves performance.
Himalaya Tentex Royal increases energy, improves performance, and uplifts mood.",https://himalayawellness.in/products/tentex-royal
Tentex Forte,₹ 90.00,"Rejuvenate & elevate your performance
Himalaya Tentex Forte helps increase strength, improves power, and stamina.",https://himalayawellness.in/products/tentex-forte
Complete Care Toothpaste,₹ 55.00,"Healthy gums . Strong teeth . Fresh breath
Himalaya Complete Care Toothpaste, is an advanced herbal formulation that not only protects from germs but also has antioxidants that help protect teeth against free radicals and help maintain gums in good health.",https://himalayawellness.in/products/complete-care-toothpaste
Ayurveda Clear Skin Soap,₹ 67.00,"Ayurvedic oil bath now in a soap
Ayurveda Clear Skin Soap has a unique formulation that nourishes skin and helps improve the complexion.",https://himalayawellness.in/products/ayurveda-clear-skin-soap
Purifying Neem Face Wash,₹ 205.00,"Clinically Proven Pimple-free Healthy Skin Expert
Himalaya's Purifying Neem Face Wash is a soap-free formulation that cleans impurities and helps clear pimples.",https://himalayawellness.in/products/purifying-neem-face-wash
Q-DEE Cramps,₹ 45.00,"Quick Dissolve. Quick Relief. 
Relief from monthly cramps and discomfort
Dissolves in 180 seconds, does not require water
Quick onset of action: starts acting in 11 minutes",https://himalayawellness.in/products/q-dee-cramps
Himalaya Ayurveda Sandal Glow Soap,₹ 60.00,Ayurveda-based Pure Sandalwood Oil in Soap for Nourished Glowing Skin,https://himalayawellness.in/products/himalaya-ayurveda-sandal-glow-soap
Confido,₹ 170.00,"Gives the confidence you need
Himalaya Confido reduces anxiety, improves performance, and increases confidence.",https://himalayawellness.in/products/confido
Cucumber & Coconut Soap,₹ 34.00,"Refreshes and rejuvenates skin
Himalaya’s Cucumber & Coconut Soap is ideal for rejuvenating and refreshing your skin.",https://himalayawellness.in/collections/all/products/cucumber-coconut-soap
Stain Removal Toothpaste,₹ 80.00,"No Chemical Bleach.
Himalaya's Stain Removal Toothpaste is an advanced herbal formulation that uses Plant Enzyme Technology.",https://himalayawellness.in/collections/all/products/stain-removal-toothpaste
Gentle Daily Care Protein Shampoo,₹ 75.00,"Cleans gently Makes hair healthy
Himalaya's Gentle Daily Care Protein Shampoo has a mild formulation for those who lead an active life, requiring frequent shampooing.",https://himalayawellness.in/collections/all/products/gentle-daily-care-protein-shampoo
Shallaki,₹ 180.00,"Reduces pain and inflammation
Facts derived from Ayurveda texts and modern research:
Supports the prevention of excessive joint wear and tear by inhibiting Glycosaminoglycans degradation, the structural element of joint cartilage supporting normal lubrication and 	shock absorbing, essential for proper joint structure and function.",https://himalayawellness.in/collections/all/products/shallaki
Anti-Dandruff Hair Oil,₹ 125.00,"Controls dandruff and revitalizes hair.Keeps scalp healthy
Himalaya's Anti-Dandruff Hair Oil fights dandruff and nourishes the scalp and keeps hair healthy.",https://himalayawellness.in/collections/all/products/anti-dandruff-hair-oil
Lip Balm,₹ 40.00,"Nourishes lips
Himalaya Lip Balm, designed with the time tested herbs relieves sore and chapped lips, especially during the winter season.",https://himalayawellness.in/collections/all/products/lip-balm
Cold Balm,₹ 125.00,"Relieves nasal and chest congestion
Himalaya Cold Balm is a soothing balm that relieves nasal and chest congestion.",https://himalayawellness.in/collections/all/products/cold-balm
Himalaya Natural Glow Kesar Face Gel,₹ 85.00,"Look beautiful, glow naturally!",https://himalayawellness.in/collections/all/products/himalaya-natural-glow-kesar-face-gel
Honey & Cream Soap,₹ 33.00,"Nourishes and moisturizes skin
 A specially formulated soap for normal to dry skin, Honey & Cream Soap nourishes, softens your skin.",https://himalayawellness.in/collections/all/products/honey-cream-soap
Speman,₹ 180.00,,https://himalayawellness.in/collections/all/products/speman
Himalaya Clear Complexion Brightening Mulethi Face Sheet Mask,₹ 75.00,"Instantly Hydrates for Glowing Skin
Himalaya Clear Complexion Brightening Mulethi Face Sheet Mask is infused with a special blend of Hyaluronic Acid that helps with skin hydration, plant-based brightening actives, Mulethi and Indian Lotus, that contain skin conditioners that condition and soften rough skin. This face sheet mask is the ultimate solution for beautiful radiant skin with a natural glow.
Instantly brightens to reveal glowing skin!",https://himalayawellness.in/collections/all/products/himalaya-clear-complexion-brightening-mulethi-face-sheet-mask
Antiseptic Cream,₹ 45.00,"Multipurpose cream
Himalaya Antiseptic Cream is a soothing cream enriched with nature’s goodness, which accelerates the healing of injured skin.",https://himalayawellness.in/collections/all/products/antiseptic-cream
Koflet LOZENGES,₹ 20.00,Provides the joy of relief,https://himalayawellness.in/collections/all/products/koflet-lozenges
Punarnava,₹ 220.00,"In Ayurveda, Punarnava means “that which rejuvenates or renews the body.”",https://himalayawellness.in/collections/all/products/punarnava
Mentat,₹ 130.00,Channelizes mental energy,https://himalayawellness.in/collections/all/products/mentat
Rumalaya Active Spray,₹ 165.00,Starts relieving pain in 2 minutes,https://himalayawellness.in/products/rumalaya-active-spray
