Source,Target,Type
423190436,1605392339488210000,Directed
423190436,1591975778266180000,Directed
423190436,1120173746369640000,Directed
423190436,1590063878511410000,Directed
423190436,809219187386306000,Directed
423190436,4118080520,Directed
423190436,1577057036021350000,Directed
423190436,1561091191458140000,Directed
423190436,1612573148272260000,Directed
423190436,785173006775558000,Directed
423190436,1599373453861130000,Directed
423190436,1549566707538470000,Directed
423190436,900061834694205000,Directed
423190436,946030419102724000,Directed
423190436,1349650610165970000,Directed
423190436,1445430724094340000,Directed
423190436,1237223422897220000,Directed
423190436,1282049815665200000,Directed
423190436,127154683,Directed
423190436,13508182,Directed
423190436,1573071767232400000,Directed
423190436,3751653220,Directed
423190436,1632321766356910000,Directed
423190436,744829510856544000,Directed
423190436,2754255487,Directed
423190436,1012589113,Directed
423190436,1630236110373750000,Directed
423190436,1616732871179530000,Directed
423190436,1631407040517090000,Directed
423190436,1615305467852450000,Directed
423190436,1502712217422150000,Directed
423190436,1409708404306710000,Directed
423190436,1630469155567610000,Directed
423190436,511416726,Directed
423190436,1261755159849230000,Directed
423190436,1628532297669670000,Directed
423190436,1445750950606430000,Directed
423190436,777936815168839000,Directed
423190436,1628700935026510000,Directed
423190436,364301700,Directed
423190436,4297906038,Directed
423190436,2791855673,Directed
423190436,1243728590,Directed
423190436,1584598334710410000,Directed
423190436,75764345,Directed
423190436,1090260036457130000,Directed
423190436,763001564399370000,Directed
423190436,1621146213373600000,Directed
423190436,1253567323836870000,Directed
423190436,56622787,Directed
423190436,498205488,Directed
423190436,769890417231990000,Directed
423190436,132892571,Directed
423190436,1224634331173240000,Directed
423190436,776728057986052000,Directed
423190436,1622325138275400000,Directed
423190436,1363890218961560000,Directed
423190436,1288418101306910000,Directed
423190436,1233282934494440000,Directed
423190436,2893003332,Directed
423190436,1621504628197310000,Directed
423190436,1488109219609860000,Directed
423190436,1624407599746780000,Directed
423190436,1486778747608980000,Directed
423190436,1624621217129830000,Directed
423190436,743724370938363000,Directed
423190436,1113513702425350000,Directed
423190436,1534939880928720000,Directed
423190436,379075040,Directed
423190436,1613745756908940000,Directed
423190436,251031305,Directed
423190436,1623760264549270000,Directed
423190436,1597363676373450000,Directed
423190436,1553471051475980000,Directed
423190436,1447079691727210000,Directed
423190436,1600798308905390000,Directed
423190436,3341807141,Directed
423190436,2782431283,Directed
423190436,226591514,Directed
423190436,4923954595,Directed
423190436,119728089,Directed
423190436,1617084347169000000,Directed
423190436,1233136776455360000,Directed
423190436,1620167378263840000,Directed
423190436,1592227746989620000,Directed
423190436,2941091119,Directed
423190436,768674525512867000,Directed
423190436,2435193542,Directed
423190436,3021890256,Directed
423190436,1620126375469540000,Directed
423190436,971051374011019000,Directed
423190436,1619818842326460000,Directed
423190436,3977210486,Directed
423190436,1336644949580770000,Directed
423190436,781120714887671000,Directed
423190436,1144086798844350000,Directed
423190436,1582624744444030000,Directed
423190436,1022740677757550000,Directed
423190436,771733183,Directed
423190436,1618279715587890000,Directed
1591975778266180000,1366810000000000000,Directed
1120173746369640000,1323210000000000000,Directed
1120173746369640000,2253840871,Directed
1120173746369640000,1243160000000000000,Directed
1120173746369640000,2343896804,Directed
1590063878511410000,1531340000000000000,Directed
