query,timestamp,profileUrl,screenName,userId,name,imgUrl,backgroundImg,bio,website,location,createdAt,followersCount,friendsCount,tweetsCount,certified,following,followedBy
https://twitter.com/devanlli,2023-03-06T01:16:53.167Z,https://twitter.com/joandiaz38,joandiaz38,1.36681E+18,Joan,https://pbs.twimg.com/profile_images/1366808499670417408/ul-Shuk8_normal.jpg,,,https://t.co/A0JRGpOmXP,South Bend,Tue Mar 02 17:50:23 +0000 2021,1001,4359,31,FALSE,FALSE,FALSE
https://twitter.com/PuneetNigam11,2023-03-06T01:16:55.795Z,https://twitter.com/radha16679092,radha16679092,1.32321E+18,radha,https://pbs.twimg.com/profile_images/1345982056711344133/QNT5FJO3_normal.jpg,https://pbs.twimg.com/profile_banners/1323210515854757888/1609479133,"Financial, Advisor Dealmoney securities",,THANE,Mon Nov 02 10:29:30 +0000 2020,53,143,410,FALSE,FALSE,FALSE
https://twitter.com/PuneetNigam11,2023-03-06T01:16:55.795Z,https://twitter.com/kevinbutani777,kevinbutani777,2253840871,Kevin Patel,https://pbs.twimg.com/profile_images/1244289387937984512/o_TrC2it_normal.jpg,https://pbs.twimg.com/profile_banners/2253840871/1553658876,"🌾Agriculture student🌽
💯 follow 🔙",,"Jetpur Navagadh, India",Thu Dec 19 17:35:12 +0000 2013,328,373,60,FALSE,FALSE,FALSE
https://twitter.com/PuneetNigam11,2023-03-06T01:16:55.795Z,https://twitter.com/40r15OxYJBRWB6n,40r15OxYJBRWB6n,1.24316E+18,Shubhi Gupta,https://pbs.twimg.com/profile_images/1281209559814598657/2dAKdXca_normal.jpg,https://pbs.twimg.com/profile_banners/1243160281385070592/1594299138,"I am a creative person, nature lover, plant lover",,,Thu Mar 26 13:00:23 +0000 2020,6,115,332,FALSE,FALSE,FALSE
https://twitter.com/PuneetNigam11,2023-03-06T01:16:55.795Z,https://twitter.com/mishra_nawal,mishra_nawal,2343896804,Nawal Mishra,https://pbs.twimg.com/profile_images/1587661835892707328/f9M_EPQ6_normal.jpg,https://pbs.twimg.com/profile_banners/2343896804/1667363065,Be the change if you want to see the change.,,Delhi,Fri Feb 14 17:37:52 +0000 2014,45,401,90,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/nataliewhalen72,nataliewhalen72,1.53134E+18,Natalie,https://pbs.twimg.com/profile_images/1531344688132784129/9FeociUY_normal.jpg,,,https://t.co/IPZHun4B7Q,Everett,Mon May 30 18:39:51 +0000 2022,112,3016,12,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/spencerrayner,spencerrayner,207392880,Spencer Rayner,https://pbs.twimg.com/profile_images/1225837293056876550/cpicaJds_normal.jpg,https://pbs.twimg.com/profile_banners/207392880/1641029096,Helping Others Get To Their Destination -  💥 SP Digital Consultants 💥 #spdc | #SuccessTRAIN | #ThriveTOGETHER,https://t.co/Sn2lcgdGzv,"Stowmarket, Suffolk, UK",Mon Oct 25 06:49:12 +0000 2010,265981,189054,98776,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/ajay4justice,ajay4justice,1.51935E+18,Ajay Sah,https://pbs.twimg.com/profile_images/1519354564310630400/TT3KGQFh_normal.jpg,,"Chairman, Child Welfare Committee, Ranchi, Jharkhand.",,,Wed Apr 27 16:33:57 +0000 2022,46,158,69,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/socialwebcafe,socialwebcafe,299385432,"Deborah, Pro Videographer, #SocialCafe Host",https://pbs.twimg.com/profile_images/1438753136261226505/sL8t-4Sk_normal.jpg,https://pbs.twimg.com/profile_banners/299385432/1411497273,"Lover of Technology & People 
Host of #SocialCafe (Tues 6p PT/9p ET) 🇺🇸
Podcaster, Speaker, Writer🎙 
#1 Jazz Singer @DeborahE",https://t.co/MC61gm6CNM,"Los Angeles, CA",Mon May 16 00:33:31 +0000 2011,66453,37273,50940,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/StonehamPress,StonehamPress,2467929380,Tim Lewis @Stoneham Press #indieAuthorChat,https://pbs.twimg.com/profile_images/648787278807072768/nV4W1vaU_normal.jpg,https://pbs.twimg.com/profile_banners/2467929380/1529511638,"Author of 7 books; Host of the #indieAuthorChat Twitter chat, cohost of @ONNAnotherLiveS. Runs the Amazon Live show https://t.co/4WnUgtK4XD",https://t.co/uuYQhYqYkW,"London, England",Mon Apr 28 15:39:48 +0000 2014,19643,12112,63740,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/hellicanz666,hellicanz666,273826212,kymac carandang,https://pbs.twimg.com/profile_images/1291158164/DSASDADS_normal.jpg,,,,tiaong quezon,Tue Mar 29 07:18:16 +0000 2011,7,104,0,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/anxiousresist,anxiousresist,1.61259E+18,The Anxious Resistance,https://pbs.twimg.com/profile_images/1612620394627833856/Sqb95143_normal.jpg,https://pbs.twimg.com/profile_banners/1612592637386579968/1673314750,"This is The Anxious Resistance, we are a social media organization dedicated to spreading news, education, and inspiration about mental health.",https://t.co/AI1vOeMn1q,,Mon Jan 09 23:30:32 +0000 2023,345,1236,44,FALSE,FALSE,FALSE
https://twitter.com/palta_dr_,2023-03-06T01:16:58.419Z,https://twitter.com/Jameswi13505388,Jameswi13505388,1.63129E+18,James william,https://pbs.twimg.com/profile_images/1631289524864139270/-0gFCyQA_normal.jpg,,"As we get involved in the emotional healing of others, we get healed
emotionally ourselves.",,Orlando Florida,Thu Mar 02 13:38:23 +0000 2023,1,123,0,FALSE,FALSE,FALSE
