Links,Store_Name,Rating,Number_of_Reviews,Store_Type,Address
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c21a40b604e7:0x485626e5a12de20c!8m2!3d19.047687!4d73.071608!16s%2Fg%2F11f2rxr5cs!19sChIJ5wS2QBrC5zsRDOItoeUmVkg?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,2.7,3.0,Health and beauty shop,"Shop No.8, Plot No.17, Sector 20, Shramik CHS, Kharghar"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c1498aeac383:0x841bdfc89ea92734!8m2!3d19.072123!4d72.999455!16s%2Fg%2F1260vrgx6!19sChIJg8PqiknB5zsRNCepnsjfG4Q?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.4,51.0,Health and beauty shop,"Chs Plot No. 27, Bombay Annexe, Shop No. A10"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7b927490471ef:0xbce992e5d10683a7!8m2!3d19.1870924!4d72.970714!16s%2Fg%2F1ttyv61_!19sChIJ73EESSe55zsRp4MG0eWS6bw?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.2,32.0,Health and beauty shop,"Shop No. 2, Paranjpa Bhavan, Ashoka Building, Gokhale Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3962fc4d31162059:0xb63c66bc026490b7!8m2!3d19.1760025!4d72.9522419!16s%2Fg%2F11gdgc9139!19sChIJWSAWMU38YjkRt5BkArxmPLY?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.6,15.0,Health and beauty shop,"Shop No 6, Mathru Chhaya Bldg, MG Road"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c62fb4c45be1:0x7db81544a6decbf7!8m2!3d19.079615!4d72.90689!16s%2Fg%2F11bbrk_c78!19sChIJ4VvEtC_G5zsR98vepkQVuH0?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.7,3.0,Health and beauty shop,"Shop No. 7, Odeon Shopping Center, V.B. Lane, Ghatkopar East"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c889656032e9:0x4d313a635b3f27a!8m2!3d19.0862364!4d72.8894271!16s%2Fg%2F11tf2n38mv!19sChIJ6TJgZYnI5zsRevKzNaYT0wQ?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.1,60.0,Health and beauty shop,"76 Ground, G, : PHOENIX MARKETCITY, Lal Bahadur Shastri Rd"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7cf28bdf3aab1:0xed0c4bc37f82702b!8m2!3d19.026534!4d72.856041!16s%2Fg%2F1hjh7937y!19sChIJsarzvSjP5zsRK3CCf8NLDO0?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.1,25.0,Health and beauty shop,"Shop No. 468, Kalyan Bhavan, Opp. Maheshwari Garden, King'S Circle Matunga East"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be795f4cbce09a9:0xc8a7a9dfe59c51e8!8m2!3d19.220749!4d73.089773!16s%2Fg%2F1q62bc9_z!19sChIJqQnOy_SV5zsR6FGc5d-pp8g?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,3.6,35.0,Health and beauty shop,"Shop No. 2, Kanchan Dhara Co-Op H S Ltd, Manpada Rd, near Navjeevan Hospital"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7c9d2cef1635b:0x4135c18bb3305c0a!8m2!3d19.117753!4d72.8736591!16s%2Fg%2F1hm29l5px!19sChIJW2PxztLJ5zsRClwws4vBNUE?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.2,72.0,Health and beauty shop,"Sahayog, M .V.Road, opp. Vishal Hall"
https://www.google.com/maps/place/Himalaya+Wellness+Store/data=!4m7!3m6!1s0x3be7cedad4d99f53:0x38d3f7e5c9fb9841!8m2!3d19.021326!4d72.839788!16s%2Fg%2F11clw7p49k!19sChIJU5_Z1NrO5zsRQZj7yeX30zg?authuser=0&hl=en&rclk=1,Himalaya Wellness Store,4.5,32.0,Health and beauty shop,"Shop No.1, Popatlal Chawl No.3 St.P.S Iv, Ranade Rd"
