WNxzHc href,d4r55,RfnDt 2,rsqaWe,wiI7pd
,,,,
,,,,
,,,,
,,,,
,,,,
https://www.google.com/maps/contrib/102501417332647248704/reviews?hl=en-US,Mukteshwar kolharikar,· 56 reviews,3 months ago,
https://www.google.com/maps/contrib/113253353164808769536/reviews?hl=en-US,Nirmal Somaya,· 46 reviews,6 months ago,Well stocked. All products available. Got what I wanted. Service is quick and courteous. Prime location. Easy accessibility.
https://www.google.com/maps/contrib/114798148684352742774/reviews?hl=en-US,Darshani Gaonkar,1 review,9 months ago,
https://www.google.com/maps/contrib/106733550403154898904/reviews?hl=en-US,Priyanka Subramani,· 14 reviews,10 months ago,
https://www.google.com/maps/contrib/113314991860994651722/reviews?hl=en-US,vikash keshri,6 reviews,a year ago,
https://www.google.com/maps/contrib/116886936766547977239/reviews?hl=en-US,Abhishek Chavan,,a year ago,
https://www.google.com/maps/contrib/102999096728638173095/reviews?hl=en-US,Garima Kaimal,18 reviews,a year ago,The store is small but fully stocked with all Himalaya products
https://www.google.com/maps/contrib/108459049459662606846/reviews?hl=en-US,Sachin Jagdish Singasane (SriSachin),· 149 reviews,a year ago,"So far so good but very less discounts,  #sachinsingasane"
https://www.google.com/maps/contrib/116160216561418311531/reviews?hl=en-US,Dr. Ninad S. Save,· 190 reviews,2 years ago,Very good place for cosmetics and OTC medicines. Very effective and attractive packaging.
https://www.google.com/maps/contrib/100958369402266246443/reviews?hl=en-US,Chetan Bhatia,· 137 reviews,2 years ago,"In current market all are giving atleast 10% off on all Himalaya Products,but they never offer."
https://www.google.com/maps/contrib/101514986895771545205/reviews?hl=en-US,TheMedicoWarrior MedicalThinkTank,· 91 reviews,2 years ago,
https://www.google.com/maps/contrib/102781209445436975445/reviews?hl=en-US,Arif Shaikh,· 58 reviews,2 years ago,Good
https://www.google.com/maps/contrib/105054792910739863494/reviews?hl=en-US,shivanand maled,· 8 reviews,2 years ago,
https://www.google.com/maps/contrib/113903016400425531564/reviews?hl=en-US,Devansh shah,· 307 reviews,2 years ago,Here you'll get all the types of himalaya brand products which is required for your daily needs.
https://www.google.com/maps/contrib/116076813502553049444/reviews?hl=en-US,Harshad Gurav (Harshad Prakash Gurav),· 130 reviews,2 years ago,Original products.... Cooperative staff
https://www.google.com/maps/contrib/118206807586237351023/reviews?hl=en-US,Rakesh Kusale,,2 years ago,
https://www.google.com/maps/contrib/106546437969048611118/reviews?hl=en-US,Harshad Patil,9 reviews,2 years ago,"All Products Available Here !
I was looking for a product for last 3 months but I found it in Vashi store, thank you …"
https://www.google.com/maps/contrib/109341042849817396848/reviews?hl=en-US,Laxmikant Salgaonkar,8 reviews,2 years ago,Awesome. Take membership for more discount
https://www.google.com/maps/contrib/110436703278810001282/reviews?hl=en-US,Bharat Thyagarajan,· 278 reviews,3 years ago,Good store having complete Himalaya portfolio
https://www.google.com/maps/contrib/112593087819752256490/reviews?hl=en-US,ankit mohapatra,1 review,3 years ago,
https://www.google.com/maps/contrib/100442858925688240749/reviews?hl=en-US,Md Kamran Hashmat,6 reviews,3 years ago,
https://www.google.com/maps/contrib/114255896225664036044/reviews?hl=en-US,Dr Suchita K,· 32 reviews,3 years ago,
