"WNxzHc href","d4r55","RfnDt","RfnDt 2","eaLgGf src","hCCjke src","hCCjke src 2","hCCjke src 3","hCCjke src 4","hCCjke src 5","rsqaWe","DU9Pgb","wiI7pd","dSlJg src","dSlJg src 2","znYl0","znYl0 2"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/108459049459662606846/reviews?hl=en-US","Sachin Jagdish Singasane (SriSachin)","Local Guide","· 149 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","5 months ago","New","Very less offers in store as compared to online, no Festival offers ,  #sachinsingasane","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share",""
"https://www.google.com/maps/contrib/101694394091989139682/reviews?hl=en-US","Komal Konekar","Local Guide","2 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","a year ago","New","I have visited today at shop for buying some products but sales girls are very busy in eating and chatting at the counter so I just took one product at left just want say I am in sales line and I know value of customers but they treat me …","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
"https://www.google.com/maps/contrib/104078943362494202329/reviews?hl=en-US","mechanicalengineeringprojects","Local Guide","· 6 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","3 years ago","New","No paytm is accepted, all products are sold at MRP, no discount, no offer,  better buy online","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
"https://www.google.com/maps/contrib/116060662615862076250/reviews?hl=en-US","Suren Pandey","Local Guide","· 222 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","4 years ago","New","Very good classic ayurved formulations","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
"https://www.google.com/maps/contrib/104689285039697329891/reviews?hl=en-US","Kevvil shah","Local Guide","· 8 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","2 years ago","New","My Favorite Shop For Personal Care.","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
"https://www.google.com/maps/contrib/106410761643624745049/reviews?hl=en-US","Santosh Kulkarni","Local Guide","44 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png","11 months ago","New","Good","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
"https://www.google.com/maps/contrib/118315964412650358768/reviews?hl=en-US","LKl L","Local Guide","· 305 reviews","https://www.gstatic.com/images/icons/material/system_gm/1x/more_vert_black_18dp.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png","4 years ago","New","V good","https://www.gstatic.com/images/icons/material/system_gm/1x/thumb_up_gm_grey_18dp.png","https://www.gstatic.com/images/icons/material/system_gm/1x/share_gm_grey_18dp.png","Share","Like"
